Name  1900  1910  1920  1930  1940  1950  1960  1970  1980  1990  2000  2010  
Candis  0  0  0  0  0  0  0  0  0  887  0  0  
Candy  0  0  0  0  0  523  350  328  357  674  0  0  
Cara  0  0  0  0  0  0  815  375  231  210  312  524  
Caren  0  0  0  0  0  700  555  667  945  0  0  0  
Cari  0  0  0  0  0  0  0  570  470  647  0  0  
Carie  0  0  0  0  0  0  0  0  723  0  0  0  
Carin  0  0  0  0  0  0  0  989  0  0  0  0  
Carina  0  0  0  0  0  0  0  0  972  667  483  787  
Carisa  0  0  0  0  0  0  0  0  940  0  0  0  
Carissa  0  0  0  0  0  0  0  0  473  310  343  565  
Carla  0  0  0  902  416  215  134  78  124  202  350  520  
Carlee  0  0  0  0  0  0  0  0  0  0  684  666  
Carleen  0  0  0  0  830  780  802  925  0  0  0  0  
Carlene  0  0  0  755  428  445  511  680  0  0  0  0  
Carley  0  0  0  0  0  0  0  0  0  860  421  564  
Carli  0  0  0  0  0  0  0  0  0  0  692  0  
Carlie  0  0  0  0  0  0  0  0  0  0  539  602  
Carlotta  0  0  0  0  0  687  907  0  0  0  0  0  
Carly  0  0  0  0  0  0  0  0  503  206  141  204  
Carma  0  0  0  0  887  0  0  0  0  0  0  0  
Carmel  0  765  676  665  823  0  990  0  0  0  0  0  
Carmela  510  361  288  284  405  594  740  716  985  0  0  0  
Carmelita  0  0  0  868  793  962  0  0  0  0  0  0  
Carmella  909  484  314  309  447  644  809  897  0  0  0  0  
Carmen  414  317  258  207  210  208  176  166  163  219  255  269  
Carol  431  322  219  105  10  5  16  41  146  296  548  980  
Carolann  0  0  0  0  976  550  0  0  0  0  0  0  
Carole  0  0  828  457  82  64  204  296  786  0  0  0  
Carolee  0  0  0  0  670  715  0  0  0  0  0  0  
Carolina  580  585  664  623  673  767  942  752  593  435  279  307  
Caroline  110  143  154  172  179  207  290  203  212  151  91  81  
Carolyn  226  219  166  110  24  12  28  57  123  158  234  500  
Carolyne  0  0  0  0  0  910  0  0  0  0  0  0  
Carolynn  0  0  0  0  981  664  0  0  0  0  0  0  
Caron  0  0  0  0  0  0  957  0  0  0  0  0  
Carri  0  0  0  0  0  0  0  0  959  0  0  0  
Carrie  44  58  104  139  168  214  187  119  40  93  320  878  
Caryl  0  0  0  780  593  648  842  0  0  0  0  0  
Caryn  0  0  0  0  0  0  613  526  576  937  0  0  
Casandra  0  0  0  0  0  0  0  867  688  499  569  0  
Casie  0  0  0  0  0  0  0  0  0  816  0  0  
Cassandra  0  0  0  0  0  429  307  192  152  60  72  187  
Cassidy  0  0  0  0  0  0  0  0  0  552  136  176  
Cassie  323  377  490  626  800  856  901  793  437  176  324  700  
Cassondra  0  0  0  0  0  0  0  0  0  895  0  0  
Catalina  0  0  0  774  944  0  0  0  0  0  889  722  
Catharine  316  316  396  576  766  787  853  0  0  0  0  0  
Catherine  40  28  20  28  42  46  33  55  71  65  89  124  
Cathey  0  0  0  0  0  0  926  0  0  0  0  0  
Cathi  0  0  0  0  0  0  981  0  0  0  0  0  
Cathie  0  0  0  0  0  618  596  0  0  0  0  0  
Cathleen  0  989  0  926  859  369  280  325  568  953  0  0  
Cathrine  669  725  761  805  0  0  826  0  0  0  0  0  
Cathryn  711  716  609  676  777  571  516  727  0  0  0  0  
Cathy  0  0  0  0  796  133  46  85  232  585  0  0  
Catina  0  0  0  0  0  0  0  0  517  0  0  0  
Catrina  0  0  0  0  0  0  0  962  521  655  0  0  
Cayla  0  0  0  0  0  0  0  0  0  874  563  847  
Caylee  0  0  0  0  0  0  0  0  0  0  0  714  
Cecelia  200  181  204  251  287  262  338  513  835  881  828  734  
Cecile  258  263  280  337  386  514  738  0  0  0  0  0  
Cecilia  210  206  227  255  273  250  272  338  389  339  270  267  
Cecily  0  0  0  0  0  0  0  0  0  991  0  0  
Celeste  514  520  558  645  634  484  333  362  399  423  272  320  
Celestine  616  617  637  615  627  650  774  0  0  0  0  0  
